1	3	51, 52, 15270
2	3	224, 263, 2067
3	4	307, 410, 3927, 4706
4	2	421, 423
5	2	506, 518
6	3	528, 626, 3244
7	3	639, 837, 7324
8	10	951, 984, 1083, 1086, 17158, 17191, 17198, 19605, 25721, 26444
9	2	1171, 1214
10	2	1308, 1847
11	2	2118, 2133
12	2	2276, 2311
13	2	2326, 2362
14	2	2441, 2839
15	2	2908, 2982
16	2	3298, 3601
17	2	3635, 3647
18	2	3690, 3786
19	2	3814, 3918
20	2	4038, 4046
21	2	4372, 4442
22	2	4851, 4871
23	2	5004, 5011
24	3	5082, 5103, 5168
25	2	5183, 5325
26	2	5612, 5710
27	2	6565, 6770
28	4	7442, 7468, 7632, 8164
29	2	8567, 8720
30	2	8998, 9430
31	2	9773, 9797
32	3	10471, 10912, 13026
33	2	11480, 11627
34	2	13109, 13120
35	2	13234, 13322
36	2	13725, 14452
37	2	16321, 16343
38	2	16351, 17124
39	2	17125, 17129
40	2	17130, 17131
41	2	17132, 17133
42	2	17137, 17139
43	2	17142, 17143
44	6	17146, 17197, 20951, 25661, 25899, 26081
45	32	17147, 17167, 17175, 17177, 17179, 17193, 17201, 17202, 17205, 17216, 17219, 17418, 17819, 21853, 22115, 25414, 25666, 25682, 25699, 25739, 25742, 25748, 25802, 25803, 25824, 25827, 25836, 25852, 25857, 26043, 26522, 27278
46	11	17150, 17182, 17215, 17263, 25665, 25760, 25785, 25910, 25968, 26398, 26509
47	4	17164, 17174, 17178, 17192
48	4	17170, 17187, 26066, 27668
49	6	17185, 17203, 17204, 17218, 22318, 26393
50	4	25663, 26067, 26751, 27244
