1	4	59, 184, 592, 9241
2	8	420, 423, 2118, 2311, 4751, 5037, 6526, 16240
3	3	460, 528, 17184
4	26	626, 639, 669, 754, 1188, 2102, 4372, 5604, 7127, 9237, 11594, 12169, 13818, 15027, 16687, 16941, 17124, 17144, 17160, 17163, 17168, 17176, 17194, 17196, 17199, 17206
5	4	774, 830, 9124, 17208
6	2	943, 1003
7	6	1214, 1388, 11817, 17137, 17149, 17214
8	11	1718, 4456, 17127, 17138, 17141, 17180, 17181, 17187, 17198, 17200, 17211
9	5	1883, 4442, 16952, 17136, 17165
10	2	3244, 4065
11	3	5429, 5493, 17157
12	8	5550, 6540, 8294, 16321, 17145, 17159, 17171, 17183
13	5	5861, 9432, 13009, 16343, 17169
14	3	7817, 17150, 17195
15	2	9616, 10551
16	4	13725, 17156, 17174, 17220
17	5	16123, 17135, 17140, 17148, 17213
18	3	17125, 17126, 17161
19	2	17128, 17129
20	3	17154, 17155, 17162
21	2	17172, 17173
22	2	17188, 17189
23	3	17221, 17222, 17225
